what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041689554
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275044782082
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275044785942
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275044787223
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275044788082
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275044790004
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275044790176
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275044792067
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275044804567
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1275044805817
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275044807004
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275044817161
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275044826067
closed,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275044826067
activated,view,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.views.FormView,1275044827849
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275044853568
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275044857521
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275044857568
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275044868912
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275044869318
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275044869662
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1275044877521
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275044878850
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275044904444
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275044904491
