what,kind,bundleId,bundleVersion,description,time
activated,view,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.views.FormView,1275047859998
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047864467
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047868358
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275047868530
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275047872592
activated,view,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.views.FormView,1275047874764
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047877780
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047883420
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047887498
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047936014
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047936030
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047952921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047954671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047960796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047963202
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275048017234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275048019702
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275048021593
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275048021765
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275048025343
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275048027656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275048028937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275048029906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275048030718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275048030781
