what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047406433
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047419574
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275047425042
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1275047441792
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1275047445183
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047447621
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047507777
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1275047511605
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275047515074
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275047515246
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275047515527
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275047515887
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1275047523356
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047524809
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047524918
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275047524934
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275047540996
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275047543824
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047547137
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047560418
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275047560559
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047561950
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047561965
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047562075
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275047583762
