what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041439263
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041444638
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1275041447076
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1275041447794
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041453342
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041454576
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041454842
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041455842
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275041455951
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041457248
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041467623
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1275041470514
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275041471811
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275041475561
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1275041481093
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275041482405
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1275041485046
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1275041491843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041495187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041496422
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041496687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041500109
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275041500250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041501187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041532079
