what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1275041023275
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041024900
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041026776
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275041026963
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041027916
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041034463
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275041039714
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275041051980
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275041052449
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1275041055902
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1275041057949
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1275041079231
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041079903
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041082122
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275041092357
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1275041110201
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041111311
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041112561
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041112811
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041114342
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275041114467
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041115530
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041124249
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1275041124264
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275041125624
