what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1275038288059
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1275038289981
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038289997
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038290950
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038291856
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038292434
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275038292450
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275038296872
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275038302357
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275038302669
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275038306622
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1275038317639
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275038324545
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1275038325998
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038327030
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038328311
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038328561
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038330202
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275038330342
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038331561
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038334139
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038336077
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038337421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038337530
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275038339046
