what,kind,bundleId,bundleVersion,description,time
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275041532236
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275041532283
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275041533267
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275041538408
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275041541377
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275041543424
closed,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275041543424
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1275041543439
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275041544502
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1275041549346
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275041549533
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1275041554940
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275041554940
opened,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275041558424
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275041558440
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041635053
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041649506
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041653241
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041653241
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041653616
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041655288
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041662022
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041664757
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041664975
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275041665913
