what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039316449
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039316761
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039318918
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275039319043
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039319887
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039334481
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275039338122
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1275039351169
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1275039357294
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1275039360201
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039373248
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039559866
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1275039566569
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1275039573007
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039575226
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039576336
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039577054
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039578226
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275039578367
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039579273
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039586867
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039592102
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275039594711
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275039597883
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275039606915
