what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275045839345
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275045840985
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045843579
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045846704
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275045846720
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045854064
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045861704
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275045865048
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045867689
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045868548
activated,view,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.views.FormView,1275045872095
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275045907798
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045909314
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045912439
activated,view,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.views.FormView,1275045928408
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275045946158
activated,view,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.views.FormView,1275045948939
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045951674
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045952611
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275045952642
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045953470
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045955049
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275045955158
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045957080
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275045963064
