what,kind,bundleId,bundleVersion,description,time
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275046236050
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275046244754
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275046246050
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275046246832
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275046247769
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275046247785
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275046262613
activated,view,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.views.FormView,1275046265879
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275046278098
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275046278113
activated,view,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.views.FormView,1275046281363
activated,view,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.views.FormView,1275046281394
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275046296816
activated,view,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.views.FormView,1275046298770
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275046308426
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275046310332
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275046310379
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1275046310488
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275046312442
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275046313645
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275046314426
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275046315832
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275046315988
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275046317770
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275046326738
